,model_type,epochs,num_layers,units,val_mse,mse,total_training_time
0,LSTM,10,2,64,0.0007829380920156837,0.014013946056365967,628.8279483318329
1,RNN,10,2,64,0.002377852564677596,0.014391220174729824,141.37234926223755
2,LSTM,30,2,64,0.0016989096766337752,0.011612099595367908,1668.1537067890167
3,RNN,30,2,64,0.0006598560139536858,0.010621669702231884,373.53191471099854
4,LSTM,50,2,64,0.0004416005976963788,0.011704298667609692,3469.8168008327484
5,RNN,50,2,64,0.0022254199720919132,0.01562655158340931,624.6376609802246
6,LSTM,10,2,128,0.002814578590914607,0.00885161105543375,1124.6940565109253
7,RNN,10,2,128,0.0017234314000234008,0.008531179279088974,109.25195169448853
8,LSTM,30,2,128,0.0008028233423829079,0.006410025525838137,2407.4999656677246
9,RNN,30,2,128,0.02801092341542244,0.036016736179590225,321.6233916282654
10,LSTM,50,2,128,0.00075997703243047,0.006850531790405512,4770.979869842529
11,RNN,50,2,128,0.001012536813504994,0.010211057960987091,643.5585691928864
12,LSTM,10,2,256,0.0004287620831746608,0.004625330679118633,2264.6038494110107
13,RNN,10,2,256,0.18431329727172852,0.22572988271713257,305.0410900115967
14,LSTM,30,2,256,0.0001878477487480268,0.0035985256545245647,10392.450719118118
15,RNN,30,2,256,0.0016944182571023703,0.005821264814585447,1418.26531457901
16,LSTM,50,2,256,0.001405184855684638,0.003416538704186678,18347.54980134964
17,RNN,50,2,256,0.04398203268647194,0.05946578457951546,1736.1146643161774
