,model_type,epochs,num_layers,units,val_mse,mse,total_training_time
0,LSTM,5,2,8,0.057691920548677444,0.20404018461704254,157.1500473022461
1,RNN,5,2,8,0.13012094795703888,0.2680467367172241,30.23710036277771
2,LSTM,10,2,8,0.03131251037120819,0.13025596737861633,277.5055019855499
3,RNN,10,2,8,0.05649203062057495,0.15479645133018494,47.817368507385254
4,LSTM,20,2,8,0.02066809870302677,0.08357017487287521,439.3680839538574
5,RNN,20,2,8,0.022070908918976784,0.09185987710952759,94.46154379844666
6,LSTM,5,4,8,0.9808890223503113,0.9621878862380981,299.24802231788635
7,RNN,5,4,8,0.27098989486694336,0.46475550532341003,24.931885242462158
8,LSTM,10,4,8,,,457.5105345249176
9,RNN,10,4,8,0.09098687767982483,0.26353639364242554,48.89444303512573
10,LSTM,20,4,8,,,4701.836164712906
11,RNN,20,4,8,0.10995583236217499,0.182824969291687,157.46776223182678
12,LSTM,5,8,8,,,622.1170954704285
13,RNN,5,8,8,0.4332725405693054,0.5443318486213684,27.66394066810608
14,LSTM,10,8,8,,,1377.8125076293945
15,RNN,10,8,8,0.17077767848968506,0.3512135446071625,52.34697151184082
16,LSTM,20,8,8,,,7599.050098896027
17,RNN,20,8,8,0.7660568356513977,0.35491734743118286,251.19304966926575
18,LSTM,5,2,16,0.02076077274978161,0.10981626063585281,324.0236928462982
19,RNN,5,2,16,0.03382670134305954,0.12368890643119812,94.22349381446838
20,LSTM,10,2,16,0.007119460962712765,0.07002522796392441,601.559089422226
21,RNN,10,2,16,0.011001616716384888,0.07243195176124573,125.16223073005676
22,LSTM,20,2,16,0.009754168801009655,0.06358417868614197,1289.2678093910217
23,RNN,20,2,16,0.005989777389913797,0.04935941472649574,184.7839298248291
24,LSTM,5,4,16,,,637.1541020870209
25,RNN,5,4,16,0.0686270147562027,0.23720262944698334,32.89969205856323
26,LSTM,10,4,16,0.018918372690677643,0.07243070006370544,1234.8885123729706
27,RNN,10,4,16,0.03824703022837639,0.11731690913438797,141.8159155845642
28,LSTM,20,4,16,,,2895.689355611801
29,RNN,20,4,16,0.03542828932404518,0.08353010565042496,268.4495303630829
30,LSTM,5,8,16,,,1526.4401848316193
31,RNN,5,8,16,0.1825690120458603,0.28960275650024414,62.683244943618774
32,LSTM,10,8,16,,,2881.061871290207
33,RNN,10,8,16,0.11167237907648087,0.18922805786132812,127.07704138755798
34,LSTM,20,8,16,,,7736.799616098404
35,RNN,20,8,16,0.03725495934486389,0.11266075819730759,285.7917356491089
36,LSTM,5,2,32,,,387.2139251232147
37,RNN,5,2,32,0.026375941932201385,0.05820437893271446,70.09265565872192
38,LSTM,10,2,32,0.0024386246223002672,0.03846757858991623,774.4454889297485
39,RNN,10,2,32,0.005744237452745438,0.04576258733868599,128.86044049263
40,LSTM,20,2,32,0.004347838927060366,0.029354767873883247,19391.55224609375
41,RNN,20,2,32,0.003089353907853365,0.025358663871884346,130.66167163848877
42,LSTM,5,4,32,0.0036531430669128895,0.05450388044118881,8908.385099172592
43,RNN,5,4,32,0.02170790359377861,0.1145830750465393,890.4046688079834
44,LSTM,10,4,32,0.0036986374761909246,0.04074174165725708,7835.446091175079
45,RNN,10,4,32,0.028138136491179466,0.07987874746322632,80.72029638290405
46,LSTM,20,4,32,0.00789352785795927,0.028507770970463753,3248.9754660129547
47,RNN,20,4,32,0.011960473842918873,0.04713504761457443,144.45490765571594
48,LSTM,5,8,32,,,776.8835504055023
49,RNN,5,8,32,0.17706544697284698,0.1443747729063034,32.83216214179993
50,LSTM,10,8,32,,,1638.2346041202545
51,RNN,10,8,32,0.1025414690375328,0.14251095056533813,78.93439674377441
52,LSTM,20,8,32,,,82412.97936630249
53,RNN,20,8,32,0.06847446411848068,0.06385859102010727,137.39804935455322
