,model_type,epochs,num_layers,units,val_mse,mse,total_training_time
0,LSTM,10,2,64,,,77.74849700927734
1,RNN,10,2,64,0.0008899513049982488,0.03267143294215202,18.73903250694275
2,LSTM,30,2,64,0.0009944901103153825,0.017195234075188637,247.48703241348267
3,RNN,30,2,64,0.003219727659597993,0.018334567546844482,58.06708645820618
4,LSTM,50,2,64,0.0012821758864447474,0.014934113249182701,412.4396276473999
5,RNN,50,2,64,0.0006374840741045773,0.013823171146214008,691.4884269237518
6,LSTM,10,2,128,0.0098127955570817,0.015647275373339653,716.5053179264069
7,RNN,10,2,128,0.0015058936551213264,0.017373226583003998,21.719517469406128
8,LSTM,30,2,128,0.00119611038826406,0.010351021774113178,473.0788962841034
9,RNN,30,2,128,0.0025040602777153254,0.012532058171927929,75.93058061599731
10,LSTM,50,2,128,0.0020052497275173664,0.009678281843662262,1156.2595236301422
11,RNN,50,2,128,0.029862195253372192,0.043877292424440384,152.32055377960205
12,LSTM,10,2,256,,,616.5292506217957
13,RNN,10,2,256,0.043065693229436874,0.09480747580528259,76.74730205535889
14,LSTM,30,2,256,0.002942835446447134,0.006884767208248377,1552.3787117004395
15,RNN,30,2,256,0.001219334197230637,0.008962652646005154,126.17747855186462
16,LSTM,50,2,256,,,2530.8814067840576
17,RNN,50,2,256,0.04744895175099373,0.06184234097599983,219.22318625450134
